timestamp,side,mm_side,price,qty
0.20558743168218618,ASK,-1,100.0,2
0.373327819013232,BID,1,99.99,3
0.373327819013232,ASK,-1,100.01,3
0.38759452907876785,ASK,-1,100.01,2
0.5264374627273202,ASK,-1,100.02,3
0.8615278460524609,BID,1,100.03,1
0.9575443242316107,BID,1,100.04,3
0.9845371173193822,ASK,-1,100.06,3
0.9942272743050933,BID,1,100.07,3
1.005179416396488,BID,1,100.07,3
1.0272291791942654,BID,1,100.06,3
1.0296019675558636,ASK,-1,100.07,1
1.3374119238482574,ASK,-1,100.07,1
1.434979691251786,ASK,-1,100.06,2
1.444281880978489,BID,1,100.05,3
1.4509413470473684,BID,1,100.05,3
1.453439812290591,BID,1,100.04,3
1.4979829075612197,ASK,-1,100.04,3
1.6732981465582446,ASK,-1,100.04,3
1.6837244513974947,ASK,-1,100.05,1
1.7232981465582446,ASK,-1,100.04,3
1.7358095519209336,ASK,-1,100.05,1
1.7358095519209336,BID,1,100.04,3
1.770918507334286,ASK,-1,100.04,3
2.0022340376522507,BID,1,100.05,3
2.1552190404306235,BID,1,100.04,1
2.1855684845286247,ASK,-1,100.05,1
2.19523351641431,ASK,-1,100.05,3
2.416952939378233,BID,1,100.04,3
2.4177209051778954,ASK,-1,100.04,3
2.449460813304498,BID,1,100.03,1
2.4573039394018727,BID,1,100.03,3
2.4573039394018727,ASK,-1,100.04,3
2.459588443320883,ASK,-1,100.04,2
2.56316148984687,BID,1,100.03,3
2.738889021872999,ASK,-1,100.05,3
2.8918278648021385,BID,1,100.05,2
2.951749202611284,ASK,-1,100.05,3
3.1797003595283755,BID,1,100.05,1
3.4969983443024732,BID,1,100.06,1
3.6075933302659675,ASK,-1,100.08,3
3.650713548105316,ASK,-1,100.09,3
3.696241632591572,BID,1,100.08,1
3.696404100220794,BID,1,100.08,3
3.7431504818051113,BID,1,100.07,1
3.7431504818051113,ASK,-1,100.09,3
3.8367757397623863,ASK,-1,100.1,3
3.886775739762386,ASK,-1,100.11,3
3.8924776505737353,BID,1,100.09,2
3.8924776505737353,ASK,-1,100.13,3
3.936470927381845,ASK,-1,100.14,3
3.9671313707650833,BID,1,100.12,3
3.9671313707650833,ASK,-1,100.14,3
3.9998206917447026,BID,1,100.12,1
3.9998206917447026,ASK,-1,100.14,3
4.019945563305966,ASK,-1,100.15,3
4.055790960341558,ASK,-1,100.23,3
4.055790960341558,BID,1,100.26,3
4.056457758333503,BID,1,100.26,3
4.069945563305966,BID,1,100.29,3
4.07294743460589,BID,1,100.26,3
4.079026812119568,BID,1,100.28,3
4.105790960341558,BID,1,100.28,3
4.1238973374447525,BID,1,100.28,3
4.140036209796673,BID,1,100.27,3
4.177199811036047,BID,1,100.27,3
4.206561186366775,BID,1,100.26,3
4.273931070567862,BID,1,100.26,3
4.343927984951021,BID,1,100.23,3
4.410420480369451,BID,1,100.19,3
4.519148257992063,BID,1,100.19,3
4.537323472586286,ASK,-1,100.21,3
4.63855699931944,BID,1,100.2,3
4.719271303108177,ASK,-1,100.18,3
