events,trades,flow_imbalance,final_mid,final_fundamental,final_fundamental_gap,final_inventory,final_realized_pnl,final_unrealized_pnl,final_pnl,final_mtm_pnl,avg_spread,markout_horizon,mm_fills,avg_markout,avg_adverse_move,adverse_fill_ratio,adverse_selection_metric,experiment,mm_update_every_k_events,p_informed,imbalance,environment_mode
14382.0,10253.0,-0.02002718622564567,99.81,99.83,0.01999999999999602,0.0,20.059999999998325,0.0,20.059999999998325,20.059999999998766,0.019944359438029406,1.0,2632.0,-3.2030752733851795e-05,3.2030752733851795e-05,0.4623860182370821,-3.2030752733851795e-05,A_baseline,1.0,0.0,0.0,v2_slow_adapt
14499.0,10592.0,-0.18867924528301888,100.03999999999999,100.04,1.4210854715202004e-14,2.0,29.590000000001552,-2.842170943040401e-14,29.590000000001524,29.589999999999833,0.02047037726739734,1.0,3350.0,0.0004542774038396625,-0.0004542774038396625,0.4450746268656716,0.0004542774038396625,B_buy_imbalance,1.0,0.0,0.35,v2_slow_adapt
15241.0,11109.0,-0.11811708860759494,96.88,96.86,-0.01999999999999602,4.0,-27.70000000000121,0.0,-27.70000000000121,-27.699999999999704,0.019651139872543973,1.0,3869.0,-0.0019129064169834432,0.0019129064169834432,0.5068493150684932,-0.0019129064169834432,C_informed_flow,1.0,0.3,0.0,v2_slow_adapt
